Name_lang,Description_lang,ID,Flags,Field_12_0_0_63534_004,Field_12_0_0_63534_005,Field_12_0_0_63534_006
Tiger Test NI,"Initiative is used in Unit Testing, Ask Tiger Lu before changing values",1,1,100,0,-1
최고의 기획,최고 그 자체.,6,1,0,90931,0
Test Initiative - Not as good as the last one,아마 최소한?,7,1,0,90934,1
위대한 기획,그렇게 좋지는 않을지도.,9,1,0,90935,0
[DNT] With Regards to Sporeggar,"[DNT] The farmers and cultivators of the Neighborhood are struggling to produce good soil for this seasons crop rotation. Sympathetic to their plight, the Cenarion Circle has recommended reaching out to a small farming village on the outskirts of Zangarmarsh...",10,1,0,90973,0
[DNT] Deeperholm,[DNT] The Earthen residents of the neighborhood have remarked that the indigenous elementals that roam the outer neighborhood could potentially be good allies if approached carefully. They advise seeking the counsel of Therazane in Deepholm for assistance.,11,1,0,90973,0
양초 문화,거주구 곳곳에 기묘한 밀랍 덩어리가 생겨나기 시작했습니다. 쓰임새를 찾아낼 적임자로 울리는 심연의 코볼트만 한 이들이 또 있을까요? 불을 밝히는 법에 관한 조언을 구해 보세요.,12,0,0,91278,0
그루멀의 친구들,집을 돌보는 건 누구에게나 힘든 법입니다! 모두가 약간의 활력이 필요한 시점이지요. 그래서 특별한 음료 카파를 만드는 쿤라이의 그루멀에게 도움을 요청했습니다. 이 음료는 거주자들의 기운을 북돋아 줄 것입니다.,13,0,0,91362,0
[DNT] Holm Sweet Holm,[DNT] The Earthen residents of the neighborhood have remarked that the indigenous elementals that roam the outer neighborhood could potentially be good allies if approached carefully. They advise seeking the counsel of Therazane in Deepholm for assistance.,14,1,0,91396,0
예술가 지원,현재 거주구에는 본래 보금자리를 공격받아 피신해 온 블러드 엘프 예술 공동체가 머물고 있습니다. 그들은 이곳 거주자들과 예술적 재능을 나누고자 합니다.,15,0,0,91633,0
가능성의 저 너머로 손을 뻗다,드랙티르는 최근 정체성을 되찾고 삶의 길을 새롭게 정했습니다. 학문과 기술에 대한 이들의 열정은 거주자들에게도 새로운 전문 기술을 익히고자 하는 영감을 줄 것입니다.,16,0,0,92151,0
적절한 현대화,메카곤에서 온 메카노움은 거주구의 기술 기반을 강화하기 위해 다양한 설비 강화를 지원하고 있습니다.,17,0,0,92687,0
무역연합의 경악,무역연합은 거주구 주민들이 공허 보관소에서 분실한 물품들을 회수할 수 있도록 도와주고 있습니다.,18,0,0,93941,0
냄새 혁명,니펜이 꽃가루 수분 문제 해결을 돕기 위해 거주구에 왔습니다. 힘을 모아 거주구의 식물을 번성시켜야 합니다.,19,0,0,94009,0
바카르 팔자 상팔자,"거주구 주민들도 애완동물을 아끼지만, 교육에 도움이 좀 필요하다고 합니다. 온아라 평야의 마루크는 바카르와 아주 강한 유대를 맺고 있으니, 교육에 도움이 될 만한 조언을 줄 수 있을지도 모릅니다.",20,0,0,95174,0
아마니 모조품,"그립타와 유랑 상인들이 ""전통 아마니 상품""을 거래하러 거주구를 찾아왔습니다. 진품은 아닐지 몰라도 모양은 꽤 그럴싸합니다.",22,0,0,95334,0
휴가철,토르톨란은 세상 물정에 밝은 종족입니다. 워낙 발이 넓은 덕택에 굳이 거주구에 소개할 필요도 없을 정도죠. 당신이 이곳에 터를 잡기 훨씬 전부터 이미 휴가를 즐기고 있었으니까요! 여가 생활의 지혜를 나눠 보세요.,24,0,0,96734,0
