ID,Title_lang,Description_lang,WorldPosition[0],WorldPosition[1],Type,PlayerConditionID,QuestID,LfgDungeonID,RewardItemID,UiTextureAtlasMemberID,UiTextureKitID,MapID,AreaTableID
1,얼라이언스 전용임!,,0,0,0,6617,0,0,124562,0,232,-1,0
3,아즈스나,"한때 목가적인 천국과도 같았던 섬 아즈스나가 사방의 적에게 침공을 받고 있습니다. 죽음을 이끄는 군단이 하늘에서 공격을 퍼붓고, 여왕 아즈샤라의 나가가 심연으로부터 나타나고, 이 섬의 옛 거주자들의 유령이 지상에서 꿈틀거립니다. 이들은 모두 엘프의 폐허 깊은 곳에 감춰진, 막대한 힘을 지닌 성물에 이끌리는 것 같습니다.",625,6355,1,39938,39718,0,0,0,0,1220,0
4,발샤라,"고대의 숲 발샤라는 반신 세나리우스의 고향이자 드루이드가 탄생한 장소입니다. 말퓨리온 스톰레이지는 이 신성한 숲으로 돌아와 자신의 위대한 스승과 소통하고, 엘룬의 눈물을 되찾으려 합니다.",3265,6241,1,39935,39731,0,0,0,0,1220,0
6,스톰하임,"국왕 겐 그레이메인이 막강한 하늘불꽃호를 이끌고 스톰하임의 봉우리들 속에서 아그라마르의 아이기스를 찾아내려 합니다. 하지만 이 땅은 고대 브리쿨 부족의 수도로, 그들의 지도자도 역시 아이기스의 힘을 뒤쫓고 있으며, 이를 독차지하기 위해서라면 무슨 짓이라도 서슴지 않을 것입니다.",3117,1954,1,39937,39735,0,0,0,0,1220,0
7,스톰하임,"대족장 실바나스 윈드러너가 자신의 함대를 스톰하임의 봉우리로 이끌고 가 아그라마르의 아이기스를 찾아내려 합니다. 하지만 이 땅은 고대 브리쿨 부족의 수도로, 그들의 지도자 역시 아이기스의 힘을 노리고 있으며, 이를 독차지하기 위해서라면 무슨 짓이라도 서슴지 않을 것입니다.",3117,1954,1,39939,39864,0,0,0,0,1220,0
8,높은산,"부서진 섬의 가장 큰 경계 지역이기도 한 높은산은 삐죽삐죽한 봉우리로 북쪽 지평선을 지배합니다. 매서운 경사면은 고귀한 타우렌 부족과 야만적인 지하 종족 드로그바의 고향이기도 하며, 이들 사이의 불안정한 평화는 지금 진군하는 군단의 세력 앞에 시험에 들게 되었습니다.",4926,4256,1,39936,39733,0,0,0,0,1220,0
9,시험용 퀘스트,시험용 퀘스트 설명,-9344.97,-2279.12,1,5703,47512,0,0,0,0,-1,0
12,"worldport 1116, 6971.02, 1004.63, 398.974, 299.925",인셋 시험용,6279,-26.6,0,5703,36810,0,0,0,0,1116,0
14,빛의 성소,,-3200,9255,3,37830,0,0,0,5608,0,0,2268
15,악마 사냥: 날개공포 이크질,용사가 제거해야 하는 강력한 악마를 발견했습니다.,625,6455,2,37103,39885,0,0,0,0,1220,0
16,과거의 메아리,용사가 잃어버린 티탄 통신 장치를 찾았습니다.,2900,5400,2,37136,39886,0,0,0,0,1220,0
17,"worldport 533, 2719.85, -3098.21, 267.686, 285.619",Test for insets 2,2719,-3098,0,5703,36810,0,0,0,0,533,0
18,"worldport 0, 2368.83, -5353.17, 52.6645, 315.291",Test for insets 3,2368,-5353,0,5703,36810,0,0,0,0,0,0
20,용맹의 전당,,-3200,10000,3,37831,0,0,0,5613,0,1479,7813
21,시험용 제안,시험용,2900,5400,3,5703,0,0,128966,0,0,-1,0
22,아케루스: 칠흑의 요새,,-3200,10000,3,37835,0,0,0,5601,0,1220,7743
23,지옥 망치호,,-3200,10000,3,37841,0,0,0,5602,0,1481,8023
24,정조준 오두막,,-3200,9255,3,37832,0,0,0,5605,0,1220,7877
25,꿈숲,,-3200,10000,3,37840,0,0,0,5603,0,1220,7846
26,수호자의 전당,,-3200,9255,3,37837,0,0,0,5606,0,1513,7879
27,유랑도,,-3200,10000,3,37839,0,0,0,5607,0,1514,7902
28,황천빛 사원,,-3200,10000,3,37834,0,0,0,5609,0,1512,7834
29,그림자의 전당,,-3200,9255,3,37833,0,0,0,5610,0,1220,8011
30,혼돈의 소용돌이,,-3200,9255,3,37836,0,0,0,5611,0,1469,7745
31,공포흉터 균열,,-3200,9255,3,37838,0,0,0,5612,0,1522,7875
32,수라마르,"10,000년 간의 고립된 생활 끝에, 나이트본 엘프는 수라마르를 보호하던 마법 방벽을 거두고 밤샘이라는 막대한 힘의 정수에 굴단이 손댈 수 있게 허락했습니다. 대마법학자 엘리산드를 폐위시키려던 시도에 실패한 후, 일련의 나이트본 추방자들은 자신들의 고대 대지의 힘을 깨우고 수라마르를 군단의 손아귀에서 되찾으려 합니다.",1778.3,4348.73,1,44817,44555,0,0,0,0,1220,0
40,줄다자르,왕 라스타칸과 잔추리 의회의 신임을 얻으십시오.,-1489.27,1024.34,1,54073,47514,0,0,0,0,1642,0
41,나즈미르,공주 탈란지와 함께 나즈미르의 음산한 늪으로 들어가 혈트롤의 위협에 종지부를 찍으십시오.,1920.37,939.103,1,54075,47512,0,0,0,0,1642,0
42,볼둔,장군 자크라제트의 비밀이 모래 어딘가에 숨어 있습니다. 사막으로 나아가 장군을 권좌에서 끌어내릴 증거를 찾으십시오.,2545.47,3837.28,1,54076,47513,0,0,0,0,1642,0
43,티라가드 해협,보랄러스의 부패를 폭로하고 캐서린 프라우드무어의 신뢰를 얻어야 합니다.,584.562,-77.9022,1,61846,47960,0,0,0,0,1643,0
44,드러스트바,웨이크레스트 부부는 프라우드무어 가문의 든든한 우군입니다. 이들의 갑작스러운 실종과 더불어 드러스트바에서 들려오는 걱정스러운 소문의 진상을 확인하십시오.,-454.389,2574.49,1,61848,47961,0,0,0,0,1643,0
45,스톰송 계곡,전설적인 쿨 티란 함대가 사라졌습니다. 스톰송 가문의 은둔 바다 비술사들에게서 답을 찾으십시오.,2513.85,537.756,1,61849,47962,0,0,0,0,1643,0
148,티라가드 해협,티라가드 해협에서 어둠사냥꾼 타이진을 도와야 합니다.,-295,-1473,1,61822,51800,0,0,0,262,1643,0
149,드러스트바,드러스트바에서 갤리윅스와 아이트리그를 도와야 합니다.,-413,4110,1,61823,51801,0,0,0,262,1643,0
150,스톰송 계곡,스톰송 계곡에서 렉사르를 도와야 합니다.,3941,469,1,61824,51802,0,0,0,262,1643,0
151,줄다자르,줄다자르에서 켈시 스틸스파크를 도와야 합니다.,-1410,-663,1,61798,51570,0,0,0,261,1642,0
152,나즈미르,나즈미르에서 브란 브론즈비어드를 도와야 합니다.,2084,184,1,61800,51571,0,0,0,261,1642,0
153,볼둔,볼둔에서 얼라이언스 병력을 도와야 합니다.,2840,4199,1,61799,51572,0,0,0,261,1642,0
161,스콜더스의 전당,이곳에 속박된 영혼들은 감시관 스콜더스와 야수들의 모진 고문에 시달립니다.,300,700,1,34450,60092,0,0,0,0,2162,0
162,골절의 방,말드락서스 출신 포로들은 이 방에 갇혀 뼈가 부서지는 경험을 몇 번이고 되풀이합니다.,325,300,1,34450,60099,0,0,0,0,2162,0
163,영혼 제련실,이 하얀 불길로 타오르는 제련실은 문자 그대로 영혼을 녹여내 간수의 군대를 위한 방어구와 무기로 벼려냅니다.,400,700,1,34450,60100,0,0,0,0,2162,0
164,저승영혼의 간극,수감동 사이에 자리 잡아 기묘한 변화를 거듭하는 이곳은 너무나도 모진 고초에 자신을 잊어버린 영혼의 그림자로 가득합니다.,425,300,1,34450,60101,0,0,0,0,2162,0
165,불협화음,바람에 휩쓸린 흔적이 역력한 나락살이 키리안의 보금자리입니다.,500,700,1,34450,60102,0,0,0,0,2162,0
