ID,Name_lang,Location_lang,Description_lang,MapPos[0],MapPos[1],WorldPos[0],WorldPos[1],GarrTypeID,GarrMissionTypeID,GarrFollowerTypeID,MaxFollowers,MissionCost,MissionCostCurrencyTypesID,OfferedGarrMissionTextureID,UiTextureKitID,EnvGarrMechanicID,EnvGarrMechanicTypeID,PlayerConditionID,GarrMissionSetID,TargetLevel,TargetItemLevel,MissionDuration,TravelDuration,OfferDuration,BaseCompletionChance,BaseFollowerXP,OvermaxRewardPackID,FollowerDeathChance,AreaID,Flags,AutoMissionScalar,AutoMissionScalarCurveID,AutoCombatantEnvCasterID
2,몰려드는 그론링,서리방벽 진입로,그론링이 떼를 지어 이 지역을 공격하고 있습니다. 서리늑대 부족과 힘을 합쳐 놈들의 수를 줄여야 합니다. 어쩌면 그중 한 마리 정도는 우리 편이 될지도 모릅니다...,0,0,0,0,2,3,1,1,0,824,0,101,0,23,26253,12,90,0,1800,0,9999999,65,100,0,0,0,0,1,0,0
3,상륙선 조사,불타는 빙하,타나안 밀림에서 우리가 타고 탈출한 선박을 조사해 보는 게 좋을 것 같습니다. 뭔가 유용한 것을 발견할지도 모르니까요!,0,0,0,0,2,3,1,1,5,824,0,101,0,23,26251,12,90,0,1800,0,9999999,65,100,0,0,0,0,1,0,0
5,그론링 가루,주둔지 동굴,주둔지 뒤쪽 동굴에서 그론링 뼈가 발견되었습니다. 연금술사들이 연구 목적을 위해 그 뼈를 파냈으면 좋겠다고 합니다.,0,0,0,0,2,18,1,1,10,824,0,0,0,24,26539,26,90,0,1800,0,259200,100,100,0,0,0,0,1,0,0
6,잔혹서리 늑대폭행꾼,잔혹서리 언덕,얼음바람 설원 동쪽의 잔혹서리 오우거들이 뻔뻔스럽게도 서리늑대를 괴롭하고 있습니다. 용납할 수 없는 일입니다!,0,0,0,0,2,3,1,1,10,824,0,101,0,12,26320,12,90,0,1800,0,9999999,65,100,0,0,0,0,1,0,0
7,바위격노 구조대,바위격노 절벽,바위격노 절벽에 피의 학살이 벌어졌다는 보고가 들어왔습니다! 서리부리 청소부를 쫓아버리고 부상당한 동맹을 구출하십시오!,0,0,0,0,2,3,1,1,10,824,0,101,0,15,28567,12,90,0,1800,0,9999999,65,100,0,0,0,0,1,0,0
36,얼어붙은 물약,얼음바람 설원,정찰병이 천둥군주 물약들이 눈 속에 꽁꽁 언 채 보관되어 있는 지점을 발견했습니다. 그 물자를 회수하면 연금술사들이 드레노어의 연금술 재료들에 대해 연구할 수 있을 겁니다.,0,0,0,0,2,18,1,1,10,824,0,0,0,23,26539,26,90,0,1800,0,259200,100,100,0,0,0,0,1,0,0
42,전리품 내놔,경매장,전리품을 모두 차지하십시오.,0,0,0,0,2,4,1,1,0,824,0,0,0,23,26539,26,90,400,7,0,999999999,50,5,0,0,0,1,1,0,0
43,서리불꽃 정찰,얼음바람 설원,맷의 시험용 입무입니다. *승리의 나팔을 울려라*,0,0,0,0,3,13,1,3,0,824,0,101,0,29,26539,26,90,0,10,0,9999999,0,100,0,0,0,0,1,0,0
44,하늘 쪽 위협,서리방벽 진입로,불타는 빙하의 라일라크가 우리 상단을 공격하고 있습니다. 물자가 원활하게 이동할 수 있게 놈들을 처리해야 합니다!,0,0,0,0,2,3,1,1,0,824,0,101,0,15,26252,12,90,0,1800,0,9999999,65,100,0,0,0,0,1,0,0
45,오우거 치료제,불타는 빙하,불타는 빙하의 칼날첨탑 오우거들은 서리불꽃 마루의 사구까지 찾아올 때면 적지 않은 양의 보급품을 챙겨 옵니다. 그 중에는 새로운 유형의 물약이 있을지도 모릅니다.,0,0,0,0,2,18,1,1,10,824,0,0,0,23,5703,26,90,0,1800,0,259200,100,100,0,0,0,0,1,0,0
54,네게 줄 전리품은 없다,가난한 집,도망쳐!!,0,0,0,0,2,4,1,1,0,824,0,0,0,23,26539,26,90,400,7,0,60,0,5,0,0,0,0,1,0,0
55,산의 오크,오크 산,산에 있는 오크를 처치해야 합니다.,0,0,0,0,2,13,1,3,0,824,0,101,0,21,26539,18,90,0,8,0,9999999,0,100,0,0,0,0,1,0,0
56,사막의 오우거,오우거 사막,사막에 있는 오우거를 처치해야 합니다.,0,0,0,0,2,25,1,3,0,824,0,103,0,22,26539,18,90,0,8,0,9999999,0,100,0,0,0,0,1,0,0
57,설원의 언데드,언데드 설원,설원에 있는 언데드를 처치해야 합니다.,0,0,0,0,2,24,1,3,0,824,0,104,0,23,26539,18,90,0,8,0,9999999,0,100,0,0,0,0,1,0,0
58,아라코아 지하,아라코아 지하,지하에 있는 아라코아를 처치해야 합니다.,0,0,0,0,2,23,1,3,0,824,0,106,0,24,26539,18,90,0,8,0,9999999,0,100,0,0,0,0,1,0,0
59,밀림의 야수,야수 밀림,밀림에 있는 야수를 처치해야 합니다.,0,0,0,0,2,18,1,3,0,824,0,107,0,25,26539,18,90,0,8,0,9999999,0,100,0,0,0,0,1,0,0
60,숲 속의 악마,악마의 숲,숲 속에 있는 악마를 처치해야 합니다.,0,0,0,0,2,19,1,3,0,824,0,105,0,26,26539,18,90,0,8,0,9999999,0,100,0,0,0,0,1,0,0
61,마을의 파괴자,파괴자 마을,마을에 있는 파괴자를 처치해야 합니다.,0,0,0,0,2,20,1,3,0,824,0,102,0,27,26539,18,90,0,8,0,9999999,0,100,0,0,0,0,1,0,0
62,늪의 격노,격노의 늪,늪에 있는 격노를 처치해야 합니다.,0,0,0,0,2,21,1,3,0,824,0,101,0,28,26539,18,90,0,8,0,9999999,100,100,0,0,0,0,1,0,0
63,평원의 원시 생물,원시의 평원,평원에 있는 원시 생물을 처치해야 합니다.,0,0,0,0,2,22,1,3,0,824,0,106,0,29,26539,18,90,0,8,0,9999999,0,100,0,0,0,0,1,0,0
64,궁극의 임무,고르그론드,일천 진실의 검을 검은바위 용광로에서 파괴해야 합니다. 반드시 해내십시오.,0,0,0,0,2,3,1,1,0,824,0,0,0,21,26539,18,90,0,600,0,9999999,0,200,0,0,0,0,1,0,0
65,어둠의 순찰대,주둔지 경계,주둔지 주위를 순찰하는 게 좋을 것 같습니다...,0,0,0,0,2,13,1,1,5,824,0,106,0,26,27657,20,90,0,1800,0,9999999,65,100,0,0,0,0,1,0,0
66,타락한 야수 처치,저주받은 숲,타락한 야수들이 계속해서 저주받은 숲에 역병을 퍼뜨리고 있습니다. 별똥별 파수꾼들이 이 불쌍한 생물들을 안식에 들게 해달라며 도움을 요청해 왔습니다.,0,0,0,0,2,3,1,1,0,824,0,106,0,26,26601,28,90,0,1800,0,9999999,65,100,0,0,0,0,1,0,0
67,천둥군주 공격,거대괴수의 추락지,최고의 전사들을 보내 거대괴수의 추락지에 있는 천둥군주 전초기지를 습격하겠습니다! 승리를 위해 전신하십시오!,0,0,0,0,2,3,1,3,10,824,0,101,0,11,28566,12,90,0,3600,0,0,65,200,0,0,0,1,1,0,0
73,화장실 청소,화장실,내기를 하면 지지 않는 게 좋습니다.,0,0,0,0,2,6,1,1,0,824,0,101,0,28,29014,29,90,0,300,0,86400,100,0,0,0,0,0,1,0,0
86,상륙선 조사,어스름 상륙지,타나안 밀림에서 우리가 타고 탈출한 선박을 조사해 보는 게 좋을 것 같습니다. 뭔가 유용한 것을 발견할지도 모르니까요!,0,0,0,0,2,3,1,1,5,824,0,106,0,26,26958,28,90,0,1800,0,9999999,65,100,0,0,0,0,1,0,0
87,어둠의 순찰대,주둔지 경계,주둔지 주위를 순찰하는 게 좋을 것 같습니다...,0,0,0,0,2,13,1,1,5,824,0,101,0,23,28319,20,90,0,1800,0,9999999,65,100,0,0,0,0,1,0,0
88,하늘에서 내리는 위협,달바라기 협곡,달바라기 협곡의 달빛내림 까마귀들이 보급품을 실은 우리 짐마차를 습격하고 있습니다. 보급품이 끊겨서는 안 됩니다!,0,0,0,0,2,3,1,1,0,824,0,106,0,15,28564,28,90,0,1800,0,9999999,65,100,0,0,0,0,1,0,0
89,어둠달 공습,샤즈굴,우리 최고의 요원들을 보내 샤즈굴에 있는 어둠달 전초기지를 공습하는 게 좋겠습니다. 얼라이언스를 위하여!,0,0,0,0,2,3,1,3,10,824,0,106,0,11,26960,28,90,0,3600,0,0,65,200,0,0,0,1,1,0,0
90,마룡의 친구,흐린빛 숲,비전 변형물이 흐린빛 숲의 마룡들을 위험에 처하게 했습니다. 용납할 수 없는 일입니다!,0,0,0,0,2,3,1,1,10,824,0,106,0,19,28565,28,90,0,1800,0,9999999,65,100,0,0,0,0,1,0,0
91,랑가리 구출,샤즈굴,어둠달 부족이 랑가리 부족민과 얼라이언스 병력을 포로로 붙잡았습니다. 적진에 침투하여 구출하십시오!,0,0,0,0,2,3,1,1,10,824,0,106,0,11,26963,28,90,0,1800,0,9999999,65,100,0,0,0,0,1,0,0
107,야만은 동색,나그란드,"그론과 오우거가 동시에 공격해 오고 있습니다. 적의 세력이 주둔지를 압도하기 전에, 야만스러운 적들의 계략을 굴복시켜야 합니다.",0,0,0,0,2,3,1,3,15,824,0,104,0,29,32928,30,100,0,36000,0,129600,0,1500,0,0,0,0,1,0,0
