Name_lang,Description_lang,Objective_lang,ID,BattlemasterListID,LFGDungeonsID,RewardsQuestID
시험용 난투,시험용 난투 설명,,1,0,2041,0
난투: 타렌 밀농장 대 사우스쇼어,팀 데스매치,"- 적 플레이어를 처치하여 점수를 획득합니다.
- 명예 승수를 올리면 등급이 상승합니다.
- 높은 등급의 상대를 처치하면 점수를 더 많이 획득합니다.",2,789,0,0
난투: 앗뜨모구의 사원,힘의 보주,"- 가속이 증가합니다.
- 이동 속도가 증가합니다.
- 부활 대기 시간이 감소합니다.",3,858,0,0
난투: 중력 붕괴,공중 정복,"- 중력이 주기적으로 달라집니다.
- 깃발 운반자는 무거운 무게에 짓눌립니다.
- 다른 사람들은 공중으로 솟아오릅니다.",4,859,0,0
난투: 아라시 눈보라,눈보라 정복,"- 거점을 차지하세요.
- 가시 거리가 짧아집니다.
- 지면이 얼어붙습니다.",5,847,0,0
난투: 깊은바람 덩크슛,덩크슛,"- 광산에서 공을 획득하세요.
- 공을 적 기지로 가져가세요.
- 슛 또는 덩크슛으로 골인시키세요.",6,860,0,0
난투: 뿔의 눈,염소 정복,"- 염소 탈것을 즐기세요!
- 염소는 상대를 뒤로 밀쳐냅니다.
- 이동 거리에 따라 밀쳐내는 거리가 증가합니다.",7,862,0,0
난투: 북적북적 투기장,15v15 투기장,"- 팀 데스매치입니다.
- 팀당 15명의 플레이어가 참여합니다.
- 마지막까지 살아남는 팀이 승리합니다.",8,866,0,0
난투: 전쟁노래 쟁탈전,깃발 쟁탈전,"- 각 팀이 다수의 깃발을 보유합니다.
- 아군 깃발이 아군 기지에 없어도 득점합니다.
- 상자에는 무작위 강화 효과가 담겨 있습니다.",9,861,0,0
난투: 음영파 결전지,5v5 투기장,"- 5v5 투기장
- 상대 팀의 모구 우두머리를 처치하면 승리합니다.
- 소환된 상자를 수집하여 강화 효과를 얻으십시오.",10,853,0,0
난투: 용맹한 6인,6v6 전장,"- 팀당 6명의 플레이어가 참여합니다.
- 새로운 게임 모드입니다.",11,879,0,0
난투: 용맹한 6인 - 길니아스 전투지,6v6 전장,"- 팀당 6명의 플레이어가 참여합니다.
- 새로운 게임 모드입니다.",12,885,0,0
난투: 용맹한 6인 - 전쟁노래 협곡,6v6 전장,"- 팀당 6명의 플레이어가 참여합니다.
- 새로운 게임 모드입니다.",13,886,0,0
난투: 용맹한 6인 - 은빛수정 광산,6v6 전장,"- 팀당 6명의 플레이어가 참여합니다.
- 새로운 게임 모드입니다.",14,883,0,0
난투: 용맹한 6인 - 코트모구의 사원,6v6 전장,"- 팀당 6명의 플레이어가 참여합니다.
- 새로운 게임 모드입니다.",15,884,0,0
난투: 용맹한 6인 - 폭풍의 눈,6v6 전장,"- 팀당 6명의 플레이어가 참여합니다.
- 새로운 게임 모드입니다.",16,882,0,0
난투: 요리조리 대소동,수집 경쟁,"- 농장 곳곳에서 재료를 수집하여 요리사에게 가져갑니다.
- 충분한 재료를 먼저 수집하는 쪽이 승리합니다!
- 상대 진영 콩콩이를 쓰러뜨리면 우리에게 충성합니다.",17,887,0,0
난투: 죽다 살다 투기장,팀 데스매치,"- 팀 데스매치
- 팀당 3명의 플레이어가 참여합니다.
- 각 팀에서 처음 두 번의 죽음은 즉시 부활됩니다.",18,0,0,0
들끓는 해안,아제라이트 수집,"잊혀졌던 미지의 섬에 있는 페랄라스 앞바다, 지금은 들끓는 해안이라 알려진 이곳에서 아제라이트가 대량 발굴되었습니다.",19,894,0,0
난투: 클래식 아쉬란,끝없는 대규모 전장,"- 아쉬란에서의 전투는 끝나지 않습니다!
- 상대 진영의 지휘관을 처치하고 전장을 장악하여 보상을 받으십시오.
- 몬스터로부터 획득한 유물 파편을 반납하여 아군 진영을 강화하십시오.",120,1021,0,0
난투: 인공지능 격파,점령,"- 거점을 차지하세요.
- 적을 처치하세요.
- 승리하세요.",121,0,1966,0
겨울손아귀,겨울손아귀 방어 또는 습격,"- 방어 진영은 요새를 지키면 승리합니다.
- 공격 진영은 요새의 마지막 성벽을 무너뜨리면 승리합니다.",122,1030,0,0
난투: 와글와글 군도,10 v 10 섬,더 큰 배가 필요합니다...,123,0,2025,0
콜라크의 복수,월드 오브 워크래프트의 생일 이벤트,"- 옛날의 알터랙 계곡을 체험하세요.
- 피의 광전사 콜라크를 처치하고 트롤의 침략을 막아내세요!
- 퀘스트와 목표를 완료하고 보상을 받으세요.",124,1033,0,63953
깊은바람 협곡,목표 점령,"- 목표 점령 및 유지
- 자원 1,500 획득",125,1039,0,0
난투: 콜라크의 복수,옛 알터랙 계곡,"- 옛날의 알터랙 계곡을 체험하세요.
- 피의 광전사 콜라크를 처치하고 트롤의 침략을 막아내세요!
- 퀘스트와 목표를 완료하고 보상을 받으세요.",126,1033,0,0
1인 조합전,조합된 팀 투기장 경기,"- 6명의 플레이어가 3v3 투기장 6 라운드 플레이
- 매 라운드 종료 시 팀이 섞임
- 1인 플레이어만 대기열 등록 가능",130,1065,0,0
1인 조합전: 수수께끼 투기장,조합된 팀 투기장 경기,"- 6명의 플레이어가 3v3 투기장 6 라운드 플레이
- 매 라운드 종료 시 팀이 섞임
- 1인 플레이어만 대기열 등록 가능",132,0,0,0
난투: 깊은바람 대폭발,탐색과 격멸,"- 시장에서 폭탄을 집어 들어야 합니다.
- 폭탄을 기지로 호위해야 합니다.
- 이후 폭탄을 설치한 뒤 방어해야 합니다.",133,1075,0,0
난투: 전장 대공세,전장 대공세,"- 1인 대기열, 단 치유 담당은 2인 대기열 등록 가능
- 8인 1팀 구성
- 양 진영 구성원과 함께 전투 진행
- 전역 탈것 속도 증가
- 빠르게 진행되는 게임 모드",136,1101,0,0
난투: 전장 대공세 - 전쟁노래 협곡,전장 대공세,,137,1102,0,0
난투: 전장 대공세 - 쌍둥이 봉우리,전장 대공세,,138,1103,0,0
난투: 전장 대공세 - 길니아스 전투,전장 대공세,,139,1104,0,0
난투: 전장 대공세 - 은빛수정 광산,전장 대공세,,140,1105,0,0
난투: 전장 대공세 - 코트모구의 사원,전장 대공세,,141,1106,0,0
난투: 전장 대공세 - 깊은바람 협곡,전장 대공세,,142,1109,0,0
난투: 전장 대공세 - 아라시 분지,전장 대공세,,143,1108,0,0
난투: 전장 대공세 - 폭풍의 눈,전장 대공세,,144,1107,0,0
난투: 전장의 열기,3v3 투기장,"- 3v3 투기장
- 적 플레이어의 생명력을 낮은 수준까지 떨어뜨리면 아군 팀의 공격력 증가
- 치유 담당에게 전투 중 사용할 시 마나가 회복되는 수통 지급",145,1111,0,0
난투: 전장 대공세 - 깊은광혈 협곡,전장 대공세,,147,1118,0,0
깊은광혈 협곡,깊은광혈 협곡,"- 광산 수레 점령 및 유지
- 중앙 보석 점령
- 자원 1,500 획득",148,1110,0,0
