ID,OverrideName_lang,OverrideTitle_lang,Flags
1,Doug Test,,1
2,Doug Test 2,,0
3,아쿤다 아쿤다,,1
4,전지자 아쿤다,,1
5,걱정하는 아쿤다,,1
6,영악한 아쿤다,,1
7,즐거운 아쿤다,,1
8,냉담한 아쿤다,,1
9,똑똑한 아쿤다,,1
10,규탄받는 아쿤다,,1
11,수줍은 아쿤다,,1
12,괴짜 아쿤다,,1
13,야단스러운 아쿤다,,1
14,하면 되는 아쿤다,,1
15,잘 잊는 아쿤다,,1
16,충성스러운 아쿤다,,1
17,망각의 아쿤다,,1
18,원조 아쿤다,,1
19,수동공격적인 아쿤다,,1
20,후회하는 아쿤다,,1
21,저명한 아쿤다,,1
22,경건한 아쿤다,,1
23,부자 친구 아쿤다,,1
24,유일무이한 아쿤다,,1
25,굳건한 아쿤다,,1
26,만족한 치악룡,,1
27,드루준,,1
28,가아남,,1
29,투우돈,,1
30,그리놈,,1
31,프리신,,1
32,플라아딤,,1
33,카알룸,,1
34,마아그림,,1
35,포식자 소그로,,0
36,가차 없는 켐칸,,0
37,탈주자 크지크티,,0
38,응결된 분노,,1
39,응결된 공포,,1
40,응결된 고독,,1
41,응결된 씁쓸함,,1
42,응결된 고통,,1
43,응결된 의심,,1
44,응결된 비애,,1
45,응결된 상실감,,1
46,응결된 우려,,1
47,응결된 슬픔,,1
48,솟구치는 증오,,1
49,솟구치는 두려움,,1
50,솟구치는 고립감,,1
51,솟구치는 절망,,1
52,솟구치는 고뇌,,1
53,솟구치는 괴로움,,1
54,독침의 환영,,0
55,서슬송곳니의 환영,,0
56,투사의 환영,,0
57,거수의 환영,,0
58,공포의 현신,,0
59,편협한 팔라발,,0
60,핏빛의 트리키디,,0
61,광신자 즈지티,,0
62,타락한 자 릴리진크,,0
63,수치스러운 보페,,0
64,형언할 수 없는 자 보르토프,,0
65,부유한 조나파,,0
66,메이나드,,0
67,뿔 달린 사냥꾼,,0
68,대여사제 셀레니스,,0
69,안면깨물이,,0
70,유가즈,,0
71,레지널드,,0
72,삐죽빼죽이,,0
73,근육덩어리,,1
74,세계수확자 질키,,0
75,태양왕 문고,,0
76,용기의 사도,,0
77,라스본,,0
78,툴테인,,0
79,말렌드라,,0
80,펠렌데이,,0
81,겁에 질린 사교계 명사,,0
82,환영 복제,,1
83,장막단 비전술사,,0
84,교만의 현신,,0
85,오만의 현신,,0
86,방자함의 현신,,0
87,이기심의 현신,,0
88,자아도취의 현신,,0
89,독선의 현신,,0
90,망상의 현신,,0
91,티보,,0
92,키모스,,0
93,일라포스,,0
94,버모스,,0
95,딘토스,,0
96,그라밀로스,,0
97,이실리오스,,0
98,아발루스,,0
99,이파디포스,,0
100,피코,,0
101,하카,,0
102,다피,,0
103,시마,,0
104,아라타네,,0
105,실라,,0
106,파라,,0
107,코린테,,0
108,아셀리아,,0
109,민타,,0
110,라라티스,,0
111,볼라,,0
112,아파,,0
113,데카,,0
114,코우키스,,0
115,아키리스,,0
116,이파,,0
117,토울리스,,0
118,젠자,,0
119,체르미,,0
120,무푸,,0
121,타락한 열망자,,0
122,관람객,,0
123,삶의 무게,,0
124,은빛십자군 성전사,,1
125,목마른 손님,,0
126,배고픈 손님,,0
127,티르너 사이드 주민,,0
128,전염성 좀비,,1
129,타락한 열망자 이올리스,,0
130,사로잡힌 영혼약탈자,,0
131,방출된 분노,,0
132,방출된 격노,,0
133,방출된 노여움,,0
134,방출된 증오,,0
135,방출된 진노,,0
136,방출된 앙심,,0
137,방출된 악의,,0
138,방출된 원한,,0
139,방출된 식탐,,0
140,방출된 허기,,0
141,방출된 방종,,0
142,방출된 갈망,,0
144,사라져가는 메아리,,0
145,덧없는 기억,,0
146,방황하는 반영,,0
147,희미한 잔재,,0
148,리리아나,,0
149,오드스트롱,,0
150,방직공들의 로라,,0
151,보리알 로사,,0
152,락사트,,0
153,브라발랏,,0
154,라모라,,0
155,열정의 톨로리아,,0
156,마자르타,,0
157,루라의 지혜,,0
158,루라의 분노,,0
159,루라의 회개,,0
160,비리엘,,0
161,알타이진,,0
162,로레트 타이마나,,0
163,우이마 우이마,,0
164,리마오 유나,,0
165,고대의 사우,,0
166,날렵한 큅,,0
167,바실리온 쿠아시,,0
168,자사 루아시,,0
169,제슬리나,,0
170,제소나,,0
171,너그러운 브릴라,,0
172,칼날의 구르,,0
173,스푸키트 슬라이,,0
174,티반의 하반,,0
175,가루프트 에이르,,0
176,현자 래쉬타르,,0
177,로 브라이트스타,,0
178,리 브라이트스타,,0
179,사랑의 미스테리온,,0
180,위대한 폴론,,0
181,온화한 레스카,,0
182,자르 롬,,0
183,셀의 존귀한 해리쉬,,0
184,전쟁의 라드수르,,0
185,희망의 인도자 피오니,,0
186,하늘군주 티엔나,,0
187,하늘군주 바스투크,,0
188,운명의 미스테리온,,0
189,자애로운 아오이페나,,0
190,라르제나 윌브레이커,,0
191,심장의 레사,,0
192,파비의 고프,,0
193,라리안 다크소울,,0
194,카샤 소울시어,,0
195,지식의 길리안,,0
196,헌신의 포리다,,0
197,은폐한 이방인,,0
198,로기,,0
199,땅굴터기,,0
200,집스,,0
201,무쇠꾼,,0
202,힉스,,0
203,흙먼지스 진창스찬 3세,,0
204,벨비,,0
205,우스터,,0
206,리프,,0
207,이고르,,0
208,허드레스,,0
209,퍼르거스,,0
210,코렘,,0
211,판스,,0
212,흙투성이,,0
213,돕,,0
214,싹스리,,0
215,코퍼워스,,0
216,프레드,,0
217,길바다크,,0
218,시간의 잎사귀 촉매,,0
219,야생 밤만개꽃 촉매,,0
220,야생씨앗 뿌리 곡식 촉매,,0
221,낚시 선착장 건설 현장,,0
222,낚시 선착장,,0
224,후작 드라카,,1
225,가치 있는 영혼,,0
226,거지트,,1
227,위이조,,1
228,허우이,,1
229,얼버무,,1
230,조자크,,1
231,나알조,,1
232,고분고분한 나락쥐,,0
233,강화된 나락살이 속박병,,0
234,나락살이 씹을거리,,0
235,가치 있는 발키르 도전자,,0
236,군정관 칼리스테네,,0
237,극성맞은 구매자,,0
238,초조한 익살꾼,,0
239,부유한 감시자,,0
240,낙관적인 입찰자,,0
241,오만한 감정사,,0
242,거만한 흥정꾼,,0
243,불평 많은 고객,,0
244,빈곤한 손님,,0
245,안목 있는 호사가,,0
246,검소한 좀도둑,,0
247,수상한 구경꾼,,0
248,문제적 구매자,,0
249,빈털터리 허세꾼,,0
250,주저하는 흥정꾼,,0
251,잘난체하는 상인,,0
252,차원문술사 조혼,,0
253,차원문술사 조다흐,,0
254,차원문술사 조나이,,0
255,목마른 손님,,0
256,수다스러운 고객,,0
257,대접받는 단골,,0
258,분통에 찬 단골,,0
259,꽉 막힌 사교계 명사,,0
260,취기 오른 여행객,,0
261,보물개코 뿔동이,착한 녀석,0
262,보물개코 뿔동이,더 착한 녀석,0
263,보물개코 뿔동이,최고로 착한 녀석,0
264,깨달은 자 바자렌,,1
265,클레이아,헌신의 손,0
266,공중 칼날,,1
267,약탈자,,1
268,진흙악마,,1
269,전투바퀴,,1
270,파괴왕,,1
272,올리아 하노아,,0
273,공포의 군주 침투자,,1
274,유형의 그림자,,0
275,방어 행렬 자동기계,,1
276,퇴행 자동기계,,1
277,수호자 자동기계,,1
278,수집 자동기계,,1
279,말가니스,영원한 자들,0
280,킨테사,현혹술사,0
281,약탈의 자동기계: 신세대,,1
282,안정된 정령,,1
283,증속 핵,,0
284,비전 환영,,0
285,세심한 수호자,,1
286,평온해진 수행원,,1
287,기회를 노리는 추적자,,0
288,야심만만한 2인자,,0
289,교활한 주술사,,0
290,,,0
291,나스레짐 침입자,,0
292,편안해진 게,,0
293,구출된 바다거북,,0
294,구출된 새끼 거북이,,0
295,구출된 물오리,,0
296,구출된 강물하마,,0
297,구출된 새끼 강물하마,,0
298,"""우호적인"" 놀",,1
299,구출된 바실리스크,,0
300,이글거리는 공포질풍,,0
301,아코라,관리인,0
302,다자크로스,관리인,0
303,겁 많은 용뿔두꺼비,,0
304,복수심에 불타오르는 뿔타조,,0
305,우크툴루트 사냥지배자,사냥꾼,0
306,길들인 오투크,사냥지배자의 동료,0
307,과충전된 번개 정령,,1
308,안정된 고룡,,1
309,비늘사령관 사카레스,분리된 불길,0
310,멋쟁이 개구리,,0
311,가동된 도구,,1
312,평온해진 개구리,,0
313,메마른 놀,,1
314,질병 난도질꾼,,1
315,메마른 난도질꾼,,1
316,그을린 잔달라 고추,,0
317,마력 깃든 빗자루,,1
318,마나에 굶주린 수정 묶음,,1
319,임프 두목,,1
320,발트룩스,,0
321,폭풍탐구자 승천자,,0
322,벤더스반,분리된 불길,0
323,칼렉고스,카드 소환,0
324,살짝 싸늘한 수정,,0
325,다소 싸늘한 수정,,0
326,적당히 싸늘한 수정,,0
327,아주 싸늘한 수정,,0
328,휴면 상태의 주입사,,0
329,광포한 바위뿌리,,0
330,밥,,0
331,튼튼비늘,,0
332,갉작이 씨,,0
333,남작 스웁앤바이트,,0
334,군주 파이어기글스,,0
