ID,Name_lang,UiMapGroupID,UiMapID,FloorIndex,RelativeHeightIndex
485,개미굴 광산,139,38,1,0
486,광산 하층,139,39,2,0
487,검은바위 첨탑,140,33,14,0
488,검은바위 동굴,140,34,15,0
489,검은바위 나락,140,35,16,0
490,지배자의 지하실,141,44,23,0
491,지하실 하층,141,45,24,0
492,오그리마,142,85,0,0
493,어둠의 틈,142,86,1,0
496,악의 동굴,144,67,21,0
497,썩은포자 동굴,144,68,22,0
498,티라가드 요새,145,3,10,0
499,전당,145,4,11,0
500,지하굴 상층,146,60,4,0
501,지하굴 하층,146,61,5,0
502,안마당,147,310,1,0
503,연회장,147,311,2,0
504,텅 빈 굴,147,312,3,0
505,관측소 하층,147,313,4,0
506,관측소 상층,147,314,5,0
507,고드프리 경의 방,147,315,6,0
508,성벽 통로,147,316,7,0
509,죽음의 폐광,148,291,1,0
510,철갑 동굴,148,292,2,0
511,아스카르 연못,149,221,1,0
512,달의 제단 성소,149,222,2,0
513,잊혀진 웅덩이,149,223,3,0
514,수호자의 전당,150,230,1,0
515,카즈고로스의 왕좌,150,231,2,0
516,톱니바퀴의 전당,151,226,1,0
517,거주 지구,151,227,2,0
518,출격실,151,228,3,0
519,땜장이 왕실,151,229,4,0
520,무덤,152,302,0,0
521,도서관,152,303,1,0
522,무기고,152,304,2,0
523,예배당,152,305,3,0
524,타즈알로,153,250,1,0
525,그물걸이 통로,153,251,2,0
526,호드마르 도시,153,252,3,0
527,블랙핸드의 전당,153,253,4,0
528,할리콘의 둥지,153,254,5,0
529,전투의 방,153,255,6,0
530,감금 구역,154,242,1,0
531,어둠괴철로 도시,154,243,2,0
532,성골 보관실,155,306,1,0
533,소환의 방,155,307,2,0
534,상층 연구실,155,308,3,0
535,교장의 연구실,155,309,4,0
536,십자군 광장,156,317,1,0
537,투쟁의 거리,156,318,2,0
538,마라우돈 동굴,157,280,1,0
539,재타르의 무덤,157,281,2,0
540,깊은굴 지하철,158,499,1,0
541,비즈모의 싸움굴,158,500,2,0
542,고르독 광장,159,235,1,0
543,수도 정원,159,236,2,0
544,명가의 궁정,159,237,3,0
545,이몰타르의 감옥,159,238,4,0
546,굽이나무 지구,159,239,5,0
547,엘드레사르 제단,159,240,6,0
548,용아귀 주둔지,160,287,1,0
549,투쟁의 전당,160,288,2,0
550,진홍빛 연구소,160,289,3,0
551,네파리안의 둥지,160,290,4,0
552,지하 부화장,161,319,1,0
553,사원 관문,161,320,2,0
554,크툰의 금고,161,321,3,0
555,하인 숙소,162,350,1,0
556,마구간 상층,162,351,2,0
557,연회장,162,352,3,0
558,객실,162,353,4,0
559,오페라 극장 발코니,162,354,5,0
560,주인의 테라스,162,355,6,0
561,부서진 계단 하층,162,356,7,0
562,부서진 계단 상층,162,357,8,0
563,동물원,162,358,9,0
564,수호자의 도서관,162,359,10,0
565,지식의 보고,162,360,11,0
566,도서관 상층,162,361,12,0
567,천문대,162,362,13,0
568,승부사의 전당,162,363,14,0
569,메디브의 방,162,364,15,0
570,마력 발생로,162,365,16,0
571,황천의 영역,162,366,17,0
572,피조물 지구,163,162,1,0
573,거미 지구,163,163,2,0
574,군사 지구,163,164,3,0
575,역병 지구,163,165,4,0
576,죽음의 사원 하층부,163,166,5,0
577,죽음의 사원 상층부,163,167,6,0
578,증기 저장고,164,263,1,0
579,냉각 못,164,264,2,0
580,트리온 감금 구역,165,269,1,0
581,막시무스 감금 구역,165,270,2,0
582,중앙 격리실,165,271,3,0
583,메카나르,166,267,1,0
584,계산의 방,166,268,2,0
585,장막의 세데크,167,258,1,0
586,애도의 전당,167,259,2,0
587,내세의 전당,168,256,1,0
588,영혼의 다리,168,257,2,0
589,카라보르 하수도,169,340,0,0
590,검은 사원,169,339,1,0
591,어둠의 성역,169,341,2,0
592,고뇌의 전당,169,342,3,0
593,고어핀드의 경비초소,169,343,4,0
594,향락의 소굴,169,344,5,0
595,지휘의 방,169,345,6,0
596,사원 정상,169,346,7,0
597,달라란,170,125,1,0
598,마법의 뒤안길,170,126,2,0
599,요른디르의 마음가짐,171,133,1,0
600,용약탈 부족의 비상,171,134,2,0
601,티르의 단상,171,135,3,0
602,첨탑 하층부,172,136,1,0
603,첨탑 상층부,172,137,2,0
604,변화의 고리,173,143,1,0
605,가속의 고리,173,144,2,0
606,변환의 고리,173,145,3,0
607,정렬의 고리,173,146,4,0
608,태양샘 고원,174,335,0,0
609,일식 제단,174,336,1,0
610,대마법학자의 피신처,175,348,1,0
611,관측 지구,175,349,2,0
612,옛 스트라솔름,176,130,0,0
613,스트라솔름,176,131,1,0
614,드락타론 회랑,177,160,1,0
615,드락타론 전망대,177,161,2,0
616,부화의 구덩이,178,157,1,0
617,하드로녹스의 둥지,178,158,2,0
618,빛나는 관문,178,159,3,0
619,불굴의 주둔지,179,138,1,0
620,창조주의 발걸음,179,139,2,0
621,울두아르,180,147,0,0
622,울두아르 대기실,180,148,1,0
623,울두아르 내부 성소,180,149,2,0
624,요그사론의 감옥,180,150,3,0
625,상상의 작업실,180,151,4,0
626,마음의 눈,180,152,5,0
627,성채 하층부,181,186,1,0
628,해골 망루,181,187,2,0
629,죽음의 인도자 마루,181,188,3,0
630,서리 여왕의 둥지,181,189,4,0
631,상층부,181,190,5,0
632,왕실,181,191,6,0
633,얼어붙은 왕좌,181,192,7,0
634,서리한,181,193,8,0
635,심연의 전당,182,322,1,0
636,넵튤론의 왕좌,182,323,2,0
637,빛의 전당,183,297,1,0
638,대지전복자의 무덤,183,298,2,0
639,네 보좌,183,299,3,0
640,소각의 방,184,283,1,0
641,황혼의 제련소,184,284,2,0
642,1층,185,208,1,0
643,2층,185,209,2,0
644,광산 동굴,186,177,3,0
645,광산 갱도,186,178,4,0
646,은빛 원형경기장,187,172,1,0
647,얼어붙은 심연,187,173,2,0
648,본층,188,181,2,0
649,상층,188,182,3,0
650,파괴된 전당,189,285,1,0
651,암흑불길 석실,189,286,2,0
652,황혼 자치구,190,294,1,0
653,대재앙의 권좌,190,295,2,0
654,황혼 동굴,190,296,3,0
655,불의 땅,191,367,0,0
656,용암천지의 모루,191,368,1,0
657,설퍼론 요새,191,369,2,0
658,초승달의 전당,192,391,1,0
659,황실 상업소,192,392,2,0
660,황제의 계단,193,393,3,0
661,황실 교역소,193,394,4,0
662,채석장 상층,194,372,6,0
663,채석장 하층,194,373,7,0
664,깊은 굴 상층,195,383,11,0
665,깊은 굴 하층,195,384,12,0
666,구오라이 전당,196,395,18,0
667,용의 전당,196,396,19,0
668,코룬의 폐허,197,386,20,0
669,코룬의 납골당,197,387,21,0
670,시간의 끝,198,401,0,0
671,청금석 용제단,198,402,1,0
672,루비 용제단,198,403,2,0
673,흑요석 용제단,198,404,3,0
674,에메랄드 용제단,198,405,4,0
675,청동 용제단,198,406,5,0
676,황혼의 시간,199,399,0,0
677,고룡쉼터 사원,199,400,1,0
678,음영파 수도원,200,443,0,0
679,클라우드스트라이크 도장,200,444,1,0
680,스노우드리프트 도장,200,445,2,0
681,봉인된 방,200,446,3,0
682,옥룡사,201,429,1,0
683,두루마리 관리인의 성소,201,430,2,0
684,곡물 지하 저장고,202,439,1,0
685,스톰스타우트 양조실,202,440,2,0
686,거대 바퀴,202,441,3,0
687,시음실,202,442,4,0
688,석양문,203,437,1,0
689,석양문 경비탑,203,438,2,0
690,용의 영혼,204,409,0,0
691,고라스의 아귀,204,410,1,0
692,슈마의 아귀,204,411,2,0
693,영원의 눈,204,412,3,0
694,하늘불꽃호,204,413,4,0
