ID,Name_lang,Description_lang,Cooldown,Duration,Flags,SchoolMask,IconFileDataID
1,DNT JasonTest Envirospell,,2,1,0,0,0
2,DNT JasonTest Ability Spell,"DNT Test test  Effect 0 Attack points $s0, Effect 1 Attack points % $s1, Effect 2 Flat points $s2, Effect 3 Flat points % $s3",4,2,1,0,461809
3,DNT Owen Test Double Effect,,3,0,0,0,0
4,이중 타격,"나지아가 가장 가까운 적을 두 번 공격해 처음에는 $s1, 직후 $s2의 물리 피해를 입힙니다.",3,0,0,1,333546
5,날개 휩쓸기,드레이븐이 날개로 휩쓸어 모든 적에게 $s1의 물리 피해를 입힙니다.,1,0,0,1,2103875
6,선혈 폭발,테오타르가 암흑 파동을 방출해 원거리의 모든 적에게 $s1의 암흑 피해를 입힙니다.,2,0,0,32,136118
7,해골 강타,가장 가까운 적에게 $s1의 물리 피해를 입힙니다.,2,1,0,32,3386321
8,매의 주먹,엘리가 가장 가까운 적에게 매처럼 날렵한 공격을 가해 피해를 입힙니다.,1,0,0,8,132188
9,치유의 포효,모든 아군 대상을 최대 생명력의 $s1%만큼 회복시킵니다.,4,0,0,64,1033494
10,별빛가지 분쇄,가장 가까운 적을 강타하여 대상의 최대 생명력의 $s1%에 해당하는 피해를 입힙니다. 매 차례마다 최대 생명력의 $s3%만큼 회복하고 모든 적에게는 최대 생명력의 $s2%에 해당하는 냉기 피해를 입힙니다.,3,3,0,16,514019
11,자동 공격,가장 가까운 적에게 피해를 입힙니다.,0,0,0,1,1064261
12,뼈 재구축,아군의 생명력을 $s1만큼 회복시킵니다.,1,1,0,32,136230
13,온화한 애정,,0,0,0,8,132125
14,영혼의 손길,안잘리가 모든 아군의 생명력을 $s1만큼 회복시킵니다.,3,0,0,32,132993
15,자동 공격,원거리에 있는 적에게 피해를 입힙니다.,0,0,0,1,135490
16,영혼 붕괴,텔라가 가장 멀리 있는 적의 기억을 찢어내 $s1의 암흑 피해를 입힙니다.,1,0,0,32,2065625
17,특제 무덤흙,무덤잘파가 모든 적에게 무덤흙을 내던져 $s1의 냉기 피해를 피해를 입히고 자신은 생명력을 $s2만큼 회복합니다.,0,0,0,16,134436
