SourceText_lang,ID,CostItemID,CurrencyID,OrderIndex,ItemBonusSeasonID,FragmentItemID,FragmentsEarnedTrackingCurrencyID
"획득:|n -용군단 신화 던전 (6 레벨 이하)|n -공격대 찾기 난이도의 아베루스 우두머리|n -전역 퀘스트, 보물, 자랄레크 동굴 활동",9,204193,0,1,3,204075,2409
획득:|n -용군단 신화 던전 (6~10 레벨 사이)|n -일반 난이도 아베루스 우두머리|n -자랄레크 동굴 주간 활동 선택,10,204195,0,2,3,204076,2410
획득:|n -영웅 난이도 아베루스 우두머리|n -용군단 신화 던전 (11~15 레벨 사이),11,204196,0,3,3,204077,2411
획득:|n -신화 난이도 아베루스 우두머리|n -용군단 신화 던전 (16 레벨 이상),12,204194,0,4,3,204078,2412
,14,0,2706,1,7,0,0
,15,0,2707,2,7,0,0
,16,0,2708,3,7,0,0
,17,0,2709,4,7,0,0
,18,0,2806,1,8,0,0
,19,0,2807,2,8,0,0
,20,0,2809,3,8,0,0
,21,0,2812,4,8,0,0
