ID,Name_lang,HordeName_lang,ParentTradeSkillCategoryID,SkillLineID,OrderIndex,Flags
58,축제 요리,,72,185,4,0
59,겨울맞이 축제,,58,185,0,0
63,일반 요리,,90,185,7,0
64,직화요리의 길,,90,975,1,1
65,볶음의 길,,90,976,2,1
66,국의 길,,90,977,3,1
67,찜의 길,,90,978,4,1
68,구이의 길,,90,979,5,1
69,양조의 길,,90,980,6,1
70,특별한 별미,,72,185,5,0
72,구세계 요리법,,1016,2548,999,1
73,아웃랜드 요리법,,1017,2547,990,1
74,노스렌드 요리법,,1018,2546,980,1
75,대격변 요리법,,1019,2545,970,1
76,기본,,379,165,0,0
84,기타,,362,197,10,0
90,판다렌 요리법,,1015,2544,960,1
91,문양,,450,773,140,0
92,문양: 마법사,,415,773,170,0
93,문양: 사제,,415,773,200,0
94,문양: 흑마법사,,415,773,230,0
95,문양: 드루이드,,415,773,150,0
96,문양: 수도사,,415,773,180,0
97,문양: 도적,,415,773,210,0
98,문양: 사냥꾼,,415,773,160,0
99,문양: 주술사,,415,773,220,0
100,문양: 성기사,,415,773,190,0
101,문양: 전사,,415,773,240,0
102,지팡이와 마법봉,,415,773,70,0
103,보조 장비,,415,773,80,0
104,잉크,,415,773,20,0
105,문양 제거,,415,773,110,0
106,카드,,415,773,50,0
107,두루마리,,415,773,100,0
108,연구,,415,773,10,0
113,문양,,415,773,0,0
114,기타,,415,773,250,0
115,퀘스트,,415,773,60,0
116,제작,,415,773,90,0
117,순간이동,,415,773,120,0
118,재료,,415,773,0,0
119,어깨보호구 새김무늬,,763,773,60,0
127,개인용,,415,773,30,0
128,착용 시 귀속,,415,773,20,0
130,사용 시 귀속,,415,773,20,0
131,획득 시 귀속,,415,773,10,0
150,붕대,,397,129,100,0
151,해독제,,397,129,200,0
164,푸른색 보석,,372,755,15,0
165,장착 무기,,372,755,90,0
166,녹색 보석,,372,755,30,0
167,왕관과 장신구,,372,755,80,0
168,재료,,372,755,65,0
169,얼개 보석,,372,755,40,0
170,탈것,,372,755,60,0
171,목걸이,,372,755,55,0
172,주황색 보석,,372,755,25,0
173,다색 보석,,372,755,45,0
174,보라색 보석,,372,755,35,0
175,붉은색 보석,,372,755,10,0
176,반지,,372,755,50,0
177,수수께끼의 보석,,372,755,70,0
178,조각상,,372,755,95,0
179,애완동물 및 광학류,,372,755,75,0
180,장신구,,372,755,85,0
181,노란색 보석,,372,755,20,0
182,땜질,,419,202,1025,0
183,부품,,419,202,1020,0
184,폭발물,,419,202,1030,0
185,고글,,419,202,1040,0
186,착용 방어구,,419,202,1050,0
187,장신구 방어구,,419,202,1060,0
188,장치,,419,202,1070,0
189,총과 활,,419,202,1080,0
190,조준경,,419,202,1090,0
191,도구,,419,202,1100,0
192,탈것,,419,202,1110,0
193,맞물림톱니,,419,202,1100,0
194,폭죽,,419,202,1100,0
195,낚시,,419,202,1100,0
196,로봇,,419,202,1100,0
197,여행,,419,202,1100,0
198,허리띠,,419,202,1100,0
199,장갑,,419,202,1100,0
200,망토,,419,202,1100,0
201,살상품,,419,202,1100,0
202,소비용품,,419,202,1100,0
203,연장,,419,202,1100,0
204,강화 방어구,,419,202,1000,0
210,룬,,0,960,0,0
214,연구,,372,755,-1,0
215,재료,,590,164,10,0
216,무기 보강,,590,164,20,0
217,방어구 보강,,590,164,30,0
218,투구,,590,164,40,0
219,어깨보호구,,590,164,50,0
220,가슴보호구,,590,164,60,0
221,건틀릿,,590,164,70,0
222,손목보호구,,590,164,80,0
