ID,Name_lang,Flags,ExpansionID,ParentCategoryID
1,기타,16,0,0
2,플레이어 간 전투,16,0,0
3,미사용,19,0,0
4,오리지널,16,0,257
21,리치 왕의 분노,16,2,257
22,던전 및 공격대,16,0,0
23,불타는 성전,16,1,257
41,Test용,0,0,0
81,대격변,16,3,257
82,고고학,4,0,0
89,점수 구분,4,0,0
133,판다리아의 안개,16,4,257
137,드레노어의 전쟁군주,16,5,257
141,군단,16,6,257
142,Hidden,4,0,0
143,격전의 아제로스,16,7,257
144,가상,8,0,0
245,어둠땅,16,8,257
246,디버그,0,0,0
248,Torghast UI (Hidden),4,8,0
250,용군단,16,9,257
251,Dragon Racing UI (Hidden),4,9,0
252,투스카르 - 낚시 그물 (숨겨짐),4,9,0
253,Test Subcategory 1,4,8,256
254,Test Subcategory 2,4,8,253
255,Test Subcategory 3,4,8,245
256,Test Subcategory 4,4,8,245
257,옛 재화,16,0,0
260,내부 전쟁,0,10,0
263,2 시즌,0,10,260
265,3 시즌,0,10,260
266,시간질주,16,10,1
