ID,Name_lang,EnumID
1,숙련도,0
2,영감,1
3,지혜,2
4,기교,3
5,능숙함,4
6,인지력,5
7,제작 속도,6
8,복수 제작,7
9,Unlock Reagent Slot (DNT - write manually!),8
10,영감,9
11,지혜,10
12,기교,11
13,능숙함,12
14,인지력,13
15,제작 속도,14
16,복수 제작,15
17,능숙함,16
18,Gather Range Rating (DNT - write manually!),17
19,additional items crafted with Multicraft (DNT - write manually!),18
20,basic reagents gathered from Finesse (DNT - write manually!),19
21,bonus Crafting Skill from Inspiration (DNT - write manually!),20
22,reagents saved from Resourcefulness (DNT - write manually!),21
23,난이도 감소,22
24,난이도 증가,23
25,숙련도 증가량 변경,24
26,Trait Ranks By Points-Modifier Label (DNT),25
27,독창성,26
28,reduce concentration cost (DNT - write manually),27
29,Dummy Effect For # Tokenization (DNT),28
30,독창성,29
31,Ingenuity Refund Increase (DNT - write manually!),30
