ID,Name_lang,Description_lang,SpecSetID
2,아제로스의 영원한 선물,,1
3,억제의 구슬,"강력한 비전 마력으로 휘몰아치며, 당신에게 더 큰 통제력을 부여합니다.",1
4,세계맥의 공명,불타는 군단의 제3차 침공 최종전에서 살게라스가 아제로스에 깊은 상흔을 남기면서 행성에는 아제라이트라는 피가 흐르기 시작했습니다.,2
5,집중의 눈동자 정수,,160
6,정화 프로토콜,"울디르에 만연했던 타락이 제거된 이후, 마더는 아제로스를 복원할 방법을 찾는 과업에 착수했습니다.",160
7,생사의 령,,1
12,불꽃의 도가니,"거친 불길은 커다란 파괴의 동력이자, 새로운 생명의 탄생을 불러오는 인도자입니다.",2
13,무효화 발전체,"안에서는 마력이 전혀 느껴지지 않지만, 그럼에도 불구하고 묵직합니다.",1
14,응축된 생명력,아제로스의 심장 덕분에 전에는 상상할 수 없던 방식으로 아제라이트를 통제할 수 있습니다.,160
15,공간의 파문,매 순간이 올바른 결정을 내릴 기회입니다.,2
16,불굴의 수호물,,49
17,끝없이 치솟는 파도,,49
18,시간의 책략,,49
19,존재의 샘,,49
20,생명의 어머니의 기원,,49
21,활력의 전도체,,49
22,완벽의 환영,미래를 꿈꾸되 현실에 집중하기를.,173
23,원수의 피,아제로스의 심장이 분노로 들끓고 있습니다.,160
24,보존의 영혼,,49
25,심연의 아이기스,자신에게 원소의 보호를 불어넣습니다.,1
27,자각몽의 기억,텅 빈 마음은 쓸모없는 도구입니다.,173
28,풀려난 힘,파괴적인 힘이 난폭하게 소용돌이치며 풀려나기를 기다립니다.,160
32,투쟁과 반목,,173
33,영생의 손길,,1
34,감시자의 힘,,1
35,단말마의 숨결,,160
36,감화의 불꽃,,160
37,무형의 공허,,2
