Code,FormatShort_lang,FormatLong_lang,LicenseAcceptText_lang,ID,NumericCode,Field_1_15_1_53009_006,Field_1_15_1_53009_007
USD,$%s,$%s,"사용자 승인: 아래의 지금 구입 단추를 클릭하는 것으로, 나는 |HurlIndex:14|h|cff71d5ff판매 약관|r|h과 |HurlIndex:15|h|cff71d5ff개인 정보 보호 정책|r|h을 포함한 이번 거래의 조건을 모두 읽고 이에 동의하였음을 확인하며, 이번 결제를 승인합니다.",1,840,16,833
GBP,£%s,£%s,지금 결제 단추를 클릭하는 것은 |HurlIndex:16|h|cff71d5ff판매 약관|r|h과 주문 상품의 즉시 전달에 동의하였음을 의미합니다. 상품 전달 과정이 시작되면 청약 철회가 불가능합니다.,2,826,16,836
KRW,%s*,%s 배틀코인,"사용자 승인: 아래의 지금 구입 단추를 클릭하는 것으로, 나는 |HurlIndex:9|h|cff71d5ff판매 약관|r|h, |HurlIndex:8|h|cff71d5ff환불 정책|r|h, |HurlIndex:13|h|cff71d5ff개인 정보 보호 정책|r|h을 포함한 이번 거래의 조건을 모두 읽고 이에 동의하였음을 확인하며, 이번 결제를 승인합니다.",3,410,48,834
EUR,€%s,€%s,지금 결제 단추를 클릭하는 것은 |HurlIndex:16|h|cff71d5ff판매 약관|r|h과 주문 상품의 즉시 전달에 동의하였음을 의미합니다. 상품 전달 과정이 시작되면 청약 철회가 불가능합니다.,4,978,16,836
RUB,%s p.,%s p.,지금 결제 단추를 클릭하는 것은 |HurlIndex:16|h|cff71d5ff판매 약관|r|h과 주문 상품의 즉시 전달에 동의하였음을 의미합니다. 상품 전달 과정이 시작되면 청약 철회가 불가능합니다.,5,643,16,836
COP,$%s,$%s,"사용자 승인: 아래의 지금 구입 단추를 클릭하는 것으로, 나는 |HurlIndex:14|h|cff71d5ff판매 약관|r|h과 |HurlIndex:15|h|cff71d5ff개인 정보 보호 정책|r|h을 포함한 이번 거래의 조건을 모두 읽고 이에 동의하였음을 확인하며, 이번 결제를 승인합니다.",6,170,4,833
PEN,S/.%s,S/.%s,"사용자 승인: 아래의 지금 구입 단추를 클릭하는 것으로, 나는 |HurlIndex:14|h|cff71d5ff판매 약관|r|h과 |HurlIndex:15|h|cff71d5ff개인 정보 보호 정책|r|h을 포함한 이번 거래의 조건을 모두 읽고 이에 동의하였음을 확인하며, 이번 결제를 승인합니다.",7,604,4,833
ARS,$%s,$%s,"사용자 승인: 아래의 지금 구입 단추를 클릭하는 것으로, 나는 |HurlIndex:14|h|cff71d5ff판매 약관|r|h과 |HurlIndex:15|h|cff71d5ff개인 정보 보호 정책|r|h을 포함한 이번 거래의 조건을 모두 읽고 이에 동의하였음을 확인하며, 이번 결제를 승인합니다.",8,32,0,833
CLP,$%s,$%s,"사용자 승인: 아래의 지금 구입 단추를 클릭하는 것으로, 나는 |HurlIndex:14|h|cff71d5ff판매 약관|r|h과 |HurlIndex:15|h|cff71d5ff개인 정보 보호 정책|r|h을 포함한 이번 거래의 조건을 모두 읽고 이에 동의하였음을 확인하며, 이번 결제를 승인합니다.",9,152,0,833
MXN,$%s,$%s,"사용자 승인: 아래의 지금 구입 단추를 클릭하는 것으로, 나는 |HurlIndex:14|h|cff71d5ff판매 약관|r|h과 |HurlIndex:15|h|cff71d5ff개인 정보 보호 정책|r|h을 포함한 이번 거래의 조건을 모두 읽고 이에 동의하였음을 확인하며, 이번 결제를 승인합니다.",10,484,0,833
