ID,FeatureDescription_lang,FeatureIcon,ParentID
1,"새로운 직업, 악마사냥꾼으로 적을 제압하세요.",1260827,2
2,부서진 섬에서 110 레벨까지 계속되는 전투에 참여하세요.,1064187,2
4,수천 가지 추가 퀘스트를 즐기세요!,236669,5
5,드레노어에서 100 레벨까지 계속되는 전투에 참여하세요.,1033987,5
6,자신만의 주둔지를 건설하고 확장하세요.,1033989,5
7,수천 가지 추가 퀘스트를 즐기세요!,236669,4
8,70 레벨까지 전투가 이어집니다.,236567,4
9,용군단을 포함한 9개 확장팩을 해제해 보십시오.,1064187,4
10,동맹 종족을 모집하세요.,413576,6
11,쿨 티라스와 잔달라에서 120 레벨까지 계속되는 전투에 참여하세요.,1064187,6
12,길드 또는 커뮤니티에 가입하고 함께 모험을 즐겨 보세요.,1033988,6
116,어둠땅에서 60 레벨까지 전투에 참여하세요,236567,115
117,성약의 단에 합류해 힘을 누리세요,3726261,115
118,저주받은 자의 탑 토르가스트에 오르세요,3257863,115
122,용의 섬에서 70 레벨까지 전투에 참여하세요,1064187,135
123,새로운 드랙티르 기원사 직업을 익혀보세요,4696175,135
124,용 조련술의 전율을 만끽하세요,4640496,135
125,세계혼 서사시 모험의 시작,1064187,143
126,80 레벨을 달성하고 강력한 영웅 특성을 습득하십시오.,135981,143
127,NPC 동료와 구렁을 탐험하십시오.,1786405,143
131,한밤 사전 구매를 완료하고 장대한 세계혼 서사시를 이어 나가십시오.,1778229,149
132,"내부 전쟁에 뛰어들어 새로운 구렁과 던전, 공격대를 공략해 보십시오.",6025441,149
133,나만의 집을 마련하고 원하는 대로 꾸며 보십시오.,7252953,149
