Level	Rogue	Druid	Hunter	Mage	Paladin	Priest	Shaman	Warlock	Warrior	Death Knight	Monk	Demon Hunter	Evoker	Adventurer	Item	Consumable	Gem1	Gem2	Gem3	Health	DamageReplaceStat	DamageSecondary	Mana Consumable
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.481900225	150	1.145106231	2	3	124.6873307	0.089531472	0.089531472	150
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.728883596	150	1.145106231	2	3	137.1560638	0.104453384	0.104453384	150
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.975866967	150	1.145106231	2	3	149.6247969	0.119375296	0.119375296	150
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.222850338	150	1.145106231	2	3	162.0935299	0.134297208	0.134297208	150
5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.469833709	150	1.145106231	2	3	174.562263	0.14921912	0.14921912	150
6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.867829794	250	1.145106231	2	3	187.0309961	0.179239362	0.179239362	250
7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.257863652	250	1.145106231	2	3	199.4997291	0.210403694	0.210403694	250
8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.775572815	250	1.145106231	2	3	211.9684622	0.251704854	0.251704854	250
9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.327201841	250	1.145106231	2	3	224.4371953	0.297495127	0.297495127	250
10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.834074263	250	1.145106231	2	3	241.7811191	0.342413594	0.342413594	250
11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.524646685	700	1.145106231	2	3	393.2235556	0.422980762	0.422980762	700
12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.196601284	700	1.145106231	2	3	425.7973564	0.511219606	0.511219606	700
13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.851599883	700	1.145106231	2	3	613.6472462	0.607365781	0.607365781	700
14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.597432333	700	1.145106231	2	3	663.0823547	0.721756072	0.721756072	700
15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.31993348	700	1.145106231	2	3	717.279054	0.844993244	0.844993244	700
16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.139647015	1500	1.145106231	2	3	781.1436316	0.990128427	0.990128427	1500
17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.28368865	1500	1.145106231	2	3	1061.935403	1.301150348	1.301150348	1500
18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.76439481	1500	1.145106231	2	3	1138.387055	1.441138364	1.441138364	1500
19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.16743381	1500	1.145106231	2	3	1517.383443	1.580498954	1.580498954	1500
20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.65647016	1500	1.145106231	2	3	1584.20988	1.740264646	1.740264646	1500
21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.10232252	2500	1.875950143	3.030381	4.040508	1932.610933	1.903931241	1.903931241	2500
22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.72122537	2500	1.875950143	3.030381	4.040508	2026.917769	2.103921224	2.103921224	2500
23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.27923867	2500	1.875950143	3.030381	4.040508	2125.069782	2.306989497	2.306989497	2500
24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.01410494	2500	1.875950143	3.030381	4.040508	2238.933027	2.55239784	2.55239784	2500
25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.6771644	2500	1.875950143	3.030381	4.040508	2693.530491	2.800660099	2.800660099	2500
26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.55027638	4000	1.875950143	3.030381	4.040508	2832.360187	3.103176822	3.103176822	4000
27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.33899327	4000	1.875950143	3.030381	4.040508	2975.228386	3.408195865	3.408195865	4000
28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.37801359	4000	1.875950143	3.030381	4.040508	3140.420903	3.782807797	3.782807797	4000
29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.3180127	4000	1.875950143	3.030381	4.040508	3724.459232	4.159409609	4.159409609	4000
30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.5573791	4000	1.875950143	3.030381	4.040508	3946.073353	4.625410298	4.625410298	4000
31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.68061535	5500	3.686852468	5.955684755	7.940913007	4174.782552	4.972991145	4.972991145	5500
32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.16334154	5500	3.686852468	5.955684755	7.940913007	4439.802314	5.414431085	5.414431085	5500
33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.50980285	5500	3.686852468	5.955684755	7.940913007	4713.820954	5.836396804	5.836396804	5500
34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.28981199	5500	3.686852468	5.955684755	7.940913007	5031.809822	6.375279408	6.375279408	5500
35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.90973032	5500	3.686852468	5.955684755	7.940913007	5361.290316	6.890214672	6.890214672	5500
36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.05489055	8500	3.686852468	5.955684755	7.940913007	6382.530283	7.55129125	7.55129125	8500
37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.01162388	8500	3.686852468	5.955684755	7.940913007	6824.464732	8.182971356	8.182971356	8500
38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.60771308	8500	3.686852468	5.955684755	7.940913007	7339.106939	8.9980054	8.9980054	8500
39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.98151776	8500	3.686852468	5.955684755	7.940913007	7874.890196	9.776988757	9.776988757	8500
40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40.13742374	8500	3.686852468	5.955684755	7.940913007	8500.047538	10.78693263	10.78693263	8500
41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43.3414927	15000	13.8851654	18.51355386	23.14194233	9152.573744	11.83764519	11.83764519	15000
42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46.54093302	15000	13.8851654	18.51355386	23.14194233	9872.582705	12.91510891	12.91510891	15000
43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50.80866926	15000	13.8851654	18.51355386	23.14194233	11811.94072	14.32169365	14.32169365	15000
44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54.73632993	15000	13.8851654	18.51355386	23.14194233	12785.41237	15.66827444	15.66827444	15000
45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59.98779094	15000	13.8851654	18.51355386	23.14194233	13927.3918	17.43395174	17.43395174	15000
46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64.83393228	20000	13.8851654	18.51355386	23.14194233	15127.65208	19.12601002	19.12601002	20000
47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71.32931443	20000	13.8851654	18.51355386	23.14194233	16538.91626	21.35421351	21.35421351	20000
48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77.34001015	20000	13.8851654	18.51355386	23.14194233	18026.53078	23.49202808	23.49202808	20000
49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85.41663889	20000	13.8851654	18.51355386	23.14194233	19779.80637	26.31900186	26.31900186	20000
50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92.91170089	20000	13.8851654	18.51355386	23.14194233	21633.44395	29.03490653	29.03490653	20000
51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103.0090416	45000	32.00640795	42.6752106	53.34401326	26123.77255	32.83413202	32.83413202	45000
52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112.4061694	45000	32.00640795	42.6752106	53.34401326	28671.86043	36.53200504	36.53200504	45000
53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125.0996009	45000	32.00640795	42.6752106	53.34401326	31863.24708	41.43924278	41.43924278	45000
54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136.9470683	45000	32.00640795	42.6752106	53.34401326	38227.57261	46.21963554	46.21963554	45000
55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152.9937021	45000	32.00640795	42.6752106	53.34401326	42658.47533	52.5915851	52.5915851	45000
56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168.014809	90000	32.00640795	42.6752106	53.34401326	47147.56674	58.80518314	58.80518314	90000
57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188.4159453	90000	32.00640795	42.6752106	53.34401326	56883.6804	67.12318052	67.12318052	90000
58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207.569753	90000	32.00640795	42.6752106	53.34401326	63478.0868	75.24403546	75.24403546	90000
59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233.6564182	90000	32.00640795	42.6752106	53.34401326	70517.23465	86.16080421	86.16080421	90000
60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	258.2211327	90000	32.00640795	42.6752106	53.34401326	90339.90376	96.83292476	96.83292476	90000
61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	281.3972412	90000	60.00161595	80.0021546	100.0026933	96501.32754	105.5239654	105.5239654	90000
62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	296.0682095	90000	60.00161595	80.0021546	100.0026933	109040.9803	111.0255786	111.0255786	90000
63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	314.6864967	90000	60.00161595	80.0021546	100.0026933	115510.1106	118.0074363	118.0074363	90000
64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	331.0930386	90000	60.00161595	80.0021546	100.0026933	130011.4826	124.1598895	124.1598895	90000
65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	351.9138666	150000	60.00161595	80.0021546	100.0026933	137726.3404	131.9677	131.9677	150000
66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	370.2613002	150000	60.00161595	80.0021546	100.0026933	154482.1897	138.8479876	138.8479876	150000
67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	393.5452294	150000	60.00161595	80.0021546	100.0026933	163651.0419	147.579461	147.579461	150000
68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	414.0631618	150000	60.00161595	80.0021546	100.0026933	182996.4921	155.2736857	155.2736857	150000
69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	438.2415954	150000	60.00161595	80.0021546	100.0026933	193124.5945	164.3405983	164.3405983	150000
70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453.3443671	150000	60.00161595	80.0021546	100.0026933	198500.7316	170.5088878	170.5088878	150000
71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	561.6920095	150000	60.00161595	80.0021546	100.0026933	307055.7658	216.207311	216.207311	150000
72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	695.9343415	150000	60.00161595	80.0021546	100.0026933	426471.5359	274.7847539	274.7847539	150000
73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	862.2600988	150000	60.00161595	80.0021546	100.0026933	579425.3267	349.0121862	349.0121862	150000
74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1068.337103	150000	60.00161595	80.0021546	100.0026933	780050.9684	443.0242885	443.0242885	150000
75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1323.665755	1000000	60.00161595	80.0021546	100.0026933	1039130.645	562.0381729	562.0381729	1000000
76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1640.01702	1000000	60.00161595	80.0021546	100.0026933	1375083.043	712.6346074	712.6346074	1000000
77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2031.975078	1000000	60.00161595	80.0021546	100.0026933	1811023.482	903.1118359	903.1118359	1000000
78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2517.609675	1000000	60.00161595	80.0021546	100.0026933	2379584.54	1143.93063	1143.93063	1000000
79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3119.309162	1000000	60.00161595	80.0021546	100.0026933	2945033.919	2308.597425	2308.597425	1000000
80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3828.969615	2625000	220	300	380	3485327.032	2557.760973	2557.760973	2625000
81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3828.969615	2625000	220	300	380	3485327.032	2557.760973	2557.760973	2625000
82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3828.969615	2625000	220	300	380	3485327.032	2557.760973	2557.760973	2625000
83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3828.969615	2625000	220	300	380	3485327.032	2557.760973	2557.760973	2625000
84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3828.969615	2625000	220	300	380	3485327.032	2557.760973	2557.760973	2625000
85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3828.969615	2625000	220	300	380	3485327.032	2557.760973	2557.760973	2625000
86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3828.969615	2625000	220	300	380	3485327.032	2557.760973	2557.760973	2625000
87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3828.969615	2625000	220	300	380	3485327.032	2557.760973	2557.760973	2625000
88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3828.969615	2625000	220	300	380	3485327.032	2557.760973	2557.760973	2625000
