Level	Unused 0	Defense Skill	Dodge	Parry	Block	Hit - Melee	Hit - Ranged	Hit - Spell	Crit - Melee	Crit - Ranged	Crit - Spell	Corruption	Corruption Resistance	Speed	Resilience - Crit Taken	Resilience - Player Damage	Lifesteal	Haste - Melee	Haste - Ranged	Haste - Spell	Avoidance	Sturdiness	Unused 7	Expertise	Armor Penetration	Mastery	PvP Power	Unused 27	Versatility - Damage Done	Versatility - Healing Done	Versatility - Damage Taken	Unused 12
1	0	0.364490047	3.350108357	3.350108357	1.51870853	1.670579383	1.670579383	1.670579383	3.1267678	3.1267678	3.1267678	1	1	0.759354265	0	1.51870853	4.556125589	2.948095354	2.948095354	2.948095354	2.429933648	0.303741706	0	1.670579383	0	3.1267678	1.336463506	0	3.484112691	3.484112691	6.968225382	0
2	0	0.364490047	3.350108357	3.350108357	1.51870853	1.670579383	1.670579383	1.670579383	3.1267678	3.1267678	3.1267678	1	1	0.759354265	0	1.51870853	4.556125589	2.948095354	2.948095354	2.948095354	2.429933648	0.303741706	0	1.670579383	0	3.1267678	1.336463506	0	3.484112691	3.484112691	6.968225382	0
3	0	0.364490047	3.350108357	3.350108357	1.51870853	1.670579383	1.670579383	1.670579383	3.1267678	3.1267678	3.1267678	1	1	0.759354265	0	1.51870853	4.556125589	2.948095354	2.948095354	2.948095354	2.429933648	0.303741706	0	1.670579383	0	3.1267678	1.336463506	0	3.484112691	3.484112691	6.968225382	0
4	0	0.364490047	3.350108357	3.350108357	1.51870853	1.670579383	1.670579383	1.670579383	3.1267678	3.1267678	3.1267678	1	1	0.759354265	0	1.51870853	4.556125589	2.948095354	2.948095354	2.948095354	2.429933648	0.303741706	0	1.670579383	0	3.1267678	1.336463506	0	3.484112691	3.484112691	6.968225382	0
5	0	0.364490047	3.350108357	3.350108357	1.51870853	1.670579383	1.670579383	1.670579383	3.1267678	3.1267678	3.1267678	1	1	0.759354265	0	1.51870853	4.556125589	2.948095354	2.948095354	2.948095354	2.429933648	0.303741706	0	1.670579383	0	3.1267678	1.336463506	0	3.484112691	3.484112691	6.968225382	0
6	0	0.364490047	3.350108357	3.350108357	1.51870853	1.670579383	1.670579383	1.670579383	3.1267678	3.1267678	3.1267678	1	1	0.759354265	0	1.51870853	4.556125589	2.948095354	2.948095354	2.948095354	2.429933648	0.303741706	0	1.670579383	0	3.1267678	1.336463506	0	3.484112691	3.484112691	6.968225382	0
7	0	0.364490047	3.350108357	3.350108357	1.51870853	1.670579383	1.670579383	1.670579383	3.1267678	3.1267678	3.1267678	1	1	0.759354265	0	1.51870853	4.556125589	2.948095354	2.948095354	2.948095354	2.429933648	0.303741706	0	1.670579383	0	3.1267678	1.336463506	0	3.484112691	3.484112691	6.968225382	0
8	0	0.364490047	3.350108357	3.350108357	1.51870853	1.670579383	1.670579383	1.670579383	3.1267678	3.1267678	3.1267678	1	1	0.759354265	0	1.51870853	4.556125589	2.948095354	2.948095354	2.948095354	2.429933648	0.303741706	0	1.670579383	0	3.1267678	1.336463506	0	3.484112691	3.484112691	6.968225382	0
9	0	0.364490047	3.350108357	3.350108357	1.51870853	1.670579383	1.670579383	1.670579383	3.1267678	3.1267678	3.1267678	1	1	0.759354265	0	1.51870853	4.556125589	2.948095354	2.948095354	2.948095354	2.429933648	0.303741706	0	1.670579383	0	3.1267678	1.336463506	0	3.484112691	3.484112691	6.968225382	0
10	0	0.364490047	3.350108357	3.350108357	1.51870853	1.670579383	1.670579383	1.670579383	3.1267678	3.1267678	3.1267678	1	1	0.759354265	0	1.51870853	4.556125589	2.948095354	2.948095354	2.948095354	2.429933648	0.303741706	0	1.670579383	0	3.1267678	1.336463506	0	3.484112691	3.484112691	6.968225382	0
